中国梦,Date,DecryptedData
0,2013-01-01,1846
1,2013-01-02,1868
2,2013-01-03,2594
3,2013-01-04,3292
4,2013-01-05,2890
5,2013-01-06,2891
6,2013-01-07,3444
7,2013-01-08,2697
8,2013-01-09,2276
9,2013-01-10,2939
10,2013-01-11,2439
11,2013-01-12,1861
12,2013-01-13,1751
13,2013-01-14,1870
14,2013-01-15,1795
15,2013-01-16,1717
16,2013-01-17,1743
17,2013-01-18,1586
18,2013-01-19,1404
19,2013-01-20,1466
20,2013-01-21,1419
21,2013-01-22,1610
22,2013-01-23,1990
23,2013-01-24,1629
24,2013-01-25,1509
25,2013-01-26,1324
26,2013-01-27,1255
27,2013-01-28,1564
28,2013-01-29,1486
29,2013-01-30,1649
30,2013-01-31,1564
31,2013-02-01,1562
32,2013-02-02,1351
33,2013-02-03,1311
34,2013-02-04,1380
35,2013-02-05,1425
36,2013-02-06,1373
37,2013-02-07,1343
38,2013-02-08,1397
39,2013-02-09,1430
40,2013-02-10,1551
41,2013-02-11,1388
42,2013-02-12,1459
43,2013-02-13,1553
44,2013-02-14,1676
45,2013-02-15,1832
46,2013-02-16,2143
47,2013-02-17,2452
48,2013-02-18,2482
49,2013-02-19,2673
50,2013-02-20,2488
51,2013-02-21,2706
52,2013-02-22,3242
53,2013-02-23,2873
54,2013-02-24,3480
55,2013-02-25,3005
56,2013-02-26,2699
57,2013-02-27,2583
58,2013-02-28,2813
59,2013-03-01,2745
60,2013-03-02,3460
61,2013-03-03,5506
62,2013-03-04,5563
63,2013-03-05,5578
64,2013-03-06,5158
65,2013-03-07,5233
66,2013-03-08,4552
67,2013-03-09,5759
68,2013-03-10,8448
69,2013-03-11,5742
70,2013-03-12,5675
71,2013-03-13,6452
72,2013-03-14,6765
73,2013-03-15,6172
74,2013-03-16,6295
75,2013-03-17,24478
76,2013-03-18,23488
77,2013-03-19,22626
78,2013-03-20,23361
79,2013-03-21,23155
80,2013-03-22,22337
81,2013-03-23,22572
82,2013-03-24,29897
83,2013-03-25,28036
84,2013-03-26,25380
85,2013-03-27,28546
86,2013-03-28,27674
87,2013-03-29,21955
88,2013-03-30,19188
89,2013-03-31,26286
90,2013-04-01,25290
91,2013-04-02,23877
92,2013-04-03,18701
93,2013-04-04,16424
94,2013-04-05,22269
95,2013-04-06,31151
96,2013-04-07,31284
97,2013-04-08,34431
98,2013-04-09,36211
99,2013-04-10,37123
100,2013-04-11,36889
101,2013-04-12,35643
102,2013-04-13,32656
103,2013-04-14,38814
104,2013-04-15,36484
105,2013-04-16,35835
106,2013-04-17,34364
107,2013-04-18,33679
108,2013-04-19,27438
109,2013-04-20,23724
110,2013-04-21,32081
111,2013-04-22,30330
112,2013-04-23,31507
113,2013-04-24,31136
114,2013-04-25,29058
115,2013-04-26,26031
116,2013-04-27,23320
117,2013-04-28,18068
118,2013-04-29,16715
119,2013-04-30,20971
120,2013-05-01,34927
121,2013-05-02,30278
122,2013-05-03,27372
123,2013-05-04,27844
124,2013-05-05,38987
125,2013-05-06,39879
126,2013-05-07,40129
127,2013-05-08,40178
128,2013-05-09,39364
129,2013-05-10,32832
130,2013-05-11,28893
131,2013-05-12,40871
132,2013-05-13,39625
133,2013-05-14,40799
134,2013-05-15,42000
135,2013-05-16,41267
136,2013-05-17,35762
137,2013-05-18,33442
138,2013-05-19,48993
139,2013-05-20,43282
140,2013-05-21,44182
141,2013-05-22,44211
142,2013-05-23,44810
143,2013-05-24,37849
144,2013-05-25,35873
145,2013-05-26,51528
146,2013-05-27,46761
147,2013-05-28,47628
148,2013-05-29,47193
149,2013-05-30,45609
150,2013-05-31,36214
151,2013-06-01,34823
152,2013-06-02,54331
153,2013-06-03,53508
154,2013-06-04,57483
155,2013-06-05,67899
156,2013-06-06,128426
157,2013-06-07,63723
158,2013-06-08,43396
159,2013-06-09,31978
160,2013-06-10,27896
161,2013-06-11,26781
162,2013-06-12,39911
163,2013-06-13,44141
164,2013-06-14,29963
165,2013-06-15,26249
166,2013-06-16,32895
167,2013-06-17,39000
168,2013-06-18,40402
169,2013-06-19,41341
170,2013-06-20,39802
171,2013-06-21,30915
172,2013-06-22,24890
173,2013-06-23,30075
174,2013-06-24,34096
175,2013-06-25,31346
176,2013-06-26,29572
177,2013-06-27,29072
178,2013-06-28,19499
179,2013-06-29,18070
180,2013-06-30,20637
181,2013-07-01,25974
182,2013-07-02,22096
183,2013-07-03,21652
184,2013-07-04,20832
185,2013-07-05,15971
186,2013-07-06,11457
187,2013-07-07,12309
188,2013-07-08,15795
189,2013-07-09,16885
190,2013-07-10,15842
191,2013-07-11,12558
192,2013-07-12,11049
193,2013-07-13,8238
194,2013-07-14,8610
195,2013-07-15,11295
196,2013-07-16,10998
197,2013-07-17,10715
198,2013-07-18,10898
199,2013-07-19,10997
200,2013-07-20,8047
201,2013-07-21,8821
202,2013-07-22,10964
203,2013-07-23,10311
204,2013-07-24,9826
205,2013-07-25,9945
206,2013-07-26,8817
207,2013-07-27,6651
208,2013-07-28,7018
209,2013-07-29,9530
210,2013-07-30,9611
211,2013-07-31,10391
212,2013-08-01,8898
213,2013-08-02,7963
214,2013-08-03,6104
215,2013-08-04,6587
216,2013-08-05,8685
217,2013-08-06,8518
218,2013-08-07,9348
219,2013-08-08,8837
220,2013-08-09,8249
221,2013-08-10,6569
222,2013-08-11,6910
223,2013-08-12,9259
224,2013-08-13,8661
225,2013-08-14,9713
226,2013-08-15,10829
227,2013-08-16,9552
228,2013-08-17,7777
229,2013-08-18,8354
230,2013-08-19,11049
231,2013-08-20,11025
232,2013-08-21,11242
233,2013-08-22,11268
234,2013-08-23,10696
235,2013-08-24,9459
236,2013-08-25,11426
237,2013-08-26,13738
238,2013-08-27,13993
239,2013-08-28,14354
240,2013-08-29,15914
241,2013-08-30,15601
242,2013-08-31,14733
243,2013-09-01,16034
244,2013-09-02,14082
245,2013-09-03,14141
246,2013-09-04,13366
247,2013-09-05,12716
248,2013-09-06,11305
249,2013-09-07,12502
250,2013-09-08,17644
251,2013-09-09,12731
252,2013-09-10,12928
253,2013-09-11,12945
254,2013-09-12,13383
255,2013-09-13,11417
256,2013-09-14,13477
257,2013-09-15,19584
258,2013-09-16,14734
259,2013-09-17,13829
260,2013-09-18,10605
261,2013-09-19,9045
262,2013-09-20,14428
263,2013-09-21,20811
264,2013-09-22,15930
265,2013-09-23,17333
266,2013-09-24,18182
267,2013-09-25,17702
268,2013-09-26,16638
269,2013-09-27,14424
270,2013-09-28,13985
271,2013-09-29,11554
272,2013-09-30,9712
273,2013-10-01,9379
274,2013-10-02,9469
275,2013-10-03,10923
276,2013-10-04,12840
277,2013-10-05,15391
278,2013-10-06,19823
279,2013-10-07,26676
280,2013-10-08,17982
281,2013-10-09,17447
282,2013-10-10,17643
283,2013-10-11,16509
284,2013-10-12,15710
285,2013-10-13,22281
286,2013-10-14,18881
287,2013-10-15,18666
288,2013-10-16,19005
289,2013-10-17,17885
290,2013-10-18,14743
291,2013-10-19,15223
292,2013-10-20,21414
293,2013-10-21,19656
294,2013-10-22,19641
295,2013-10-23,20328
296,2013-10-24,19078
297,2013-10-25,16380
298,2013-10-26,16414
299,2013-10-27,20913
300,2013-10-28,19717
301,2013-10-29,20596
302,2013-10-30,19386
303,2013-10-31,18813
304,2013-11-01,14887
305,2013-11-02,14912
306,2013-11-03,21826
307,2013-11-04,19637
308,2013-11-05,20657
309,2013-11-06,19618
310,2013-11-07,18932
311,2013-11-08,15003
312,2013-11-09,14288
313,2013-11-10,20363
314,2013-11-11,17047
315,2013-11-12,21052
316,2013-11-13,20187
317,2013-11-14,18876
318,2013-11-15,14425
319,2013-11-16,14174
320,2013-11-17,19399
321,2013-11-18,17791
322,2013-11-19,18249
323,2013-11-20,18672
324,2013-11-21,18576
325,2013-11-22,14745
326,2013-11-23,15812
327,2013-11-24,20994
328,2013-11-25,17185
329,2013-11-26,17838
330,2013-11-27,17980
331,2013-11-28,16917
332,2013-11-29,12400
333,2013-11-30,11999
334,2013-12-01,18555
335,2013-12-02,18337
336,2013-12-03,18099
337,2013-12-04,18862
338,2013-12-05,16987
339,2013-12-06,12899
340,2013-12-07,12511
341,2013-12-08,17743
342,2013-12-09,17972
343,2013-12-10,17132
344,2013-12-11,15606
345,2013-12-12,15079
346,2013-12-13,11173
347,2013-12-14,10524
348,2013-12-15,16512
349,2013-12-16,15823
350,2013-12-17,17060
351,2013-12-18,15994
352,2013-12-19,15837
353,2013-12-20,12110
354,2013-12-21,10854
355,2013-12-22,14270
356,2013-12-23,15740
357,2013-12-24,13624
358,2013-12-25,14710
359,2013-12-26,14717
360,2013-12-27,12003
361,2013-12-28,9463
362,2013-12-29,11475
363,2013-12-30,12430
364,2013-12-31,9518
