何弃疗,Date,DecryptedData
0,2013-01-01,
1,2013-01-02,
2,2013-01-03,
3,2013-01-04,
4,2013-01-05,
5,2013-01-06,
6,2013-01-07,
7,2013-01-08,
8,2013-01-09,
9,2013-01-10,
10,2013-01-11,
11,2013-01-12,
12,2013-01-13,
13,2013-01-14,
14,2013-01-15,
15,2013-01-16,
16,2013-01-17,
17,2013-01-18,
18,2013-01-19,
19,2013-01-20,
20,2013-01-21,
21,2013-01-22,
22,2013-01-23,
23,2013-01-24,
24,2013-01-25,
25,2013-01-26,
26,2013-01-27,
27,2013-01-28,
28,2013-01-29,
29,2013-01-30,
30,2013-01-31,
31,2013-02-01,
32,2013-02-02,
33,2013-02-03,
34,2013-02-04,
35,2013-02-05,
36,2013-02-06,
37,2013-02-07,
38,2013-02-08,
39,2013-02-09,
40,2013-02-10,
41,2013-02-11,
42,2013-02-12,
43,2013-02-13,
44,2013-02-14,
45,2013-02-15,
46,2013-02-16,
47,2013-02-17,
48,2013-02-18,
49,2013-02-19,
50,2013-02-20,
51,2013-02-21,
52,2013-02-22,
53,2013-02-23,
54,2013-02-24,
55,2013-02-25,
56,2013-02-26,
57,2013-02-27,
58,2013-02-28,
59,2013-03-01,
60,2013-03-02,
61,2013-03-03,
62,2013-03-04,
63,2013-03-05,
64,2013-03-06,
65,2013-03-07,
66,2013-03-08,
67,2013-03-09,
68,2013-03-10,
69,2013-03-11,
70,2013-03-12,
71,2013-03-13,
72,2013-03-14,
73,2013-03-15,
74,2013-03-16,
75,2013-03-17,
76,2013-03-18,
77,2013-03-19,
78,2013-03-20,
79,2013-03-21,
80,2013-03-22,
81,2013-03-23,
82,2013-03-24,
83,2013-03-25,
84,2013-03-26,
85,2013-03-27,57
86,2013-03-28,
87,2013-03-29,
88,2013-03-30,
89,2013-03-31,
90,2013-04-01,
91,2013-04-02,
92,2013-04-03,
93,2013-04-04,
94,2013-04-05,
95,2013-04-06,
96,2013-04-07,
97,2013-04-08,
98,2013-04-09,
99,2013-04-10,
100,2013-04-11,
101,2013-04-12,
102,2013-04-13,
103,2013-04-14,
104,2013-04-15,
105,2013-04-16,
106,2013-04-17,
107,2013-04-18,
108,2013-04-19,
109,2013-04-20,
110,2013-04-21,
111,2013-04-22,
112,2013-04-23,
113,2013-04-24,
114,2013-04-25,
115,2013-04-26,
116,2013-04-27,
117,2013-04-28,
118,2013-04-29,
119,2013-04-30,
120,2013-05-01,
121,2013-05-02,
122,2013-05-03,
123,2013-05-04,
124,2013-05-05,
125,2013-05-06,
126,2013-05-07,
127,2013-05-08,
128,2013-05-09,
129,2013-05-10,
130,2013-05-11,
131,2013-05-12,
132,2013-05-13,
133,2013-05-14,
134,2013-05-15,
135,2013-05-16,
136,2013-05-17,
137,2013-05-18,
138,2013-05-19,
139,2013-05-20,
140,2013-05-21,
141,2013-05-22,
142,2013-05-23,
143,2013-05-24,
144,2013-05-25,
145,2013-05-26,
146,2013-05-27,
147,2013-05-28,
148,2013-05-29,
149,2013-05-30,63
150,2013-05-31,64
151,2013-06-01,57
152,2013-06-02,61
153,2013-06-03,134
154,2013-06-04,120
155,2013-06-05,
156,2013-06-06,
157,2013-06-07,120
158,2013-06-08,61
159,2013-06-09,
160,2013-06-10,57
161,2013-06-11,61
162,2013-06-12,126
163,2013-06-13,
164,2013-06-14,57
165,2013-06-15,122
166,2013-06-16,120
167,2013-06-17,
168,2013-06-18,121
169,2013-06-19,63
170,2013-06-20,57
171,2013-06-21,125
172,2013-06-22,61
173,2013-06-23,135
174,2013-06-24,126
175,2013-06-25,127
176,2013-06-26,123
177,2013-06-27,139
178,2013-06-28,121
179,2013-06-29,140
180,2013-06-30,144
181,2013-07-01,148
182,2013-07-02,138
183,2013-07-03,148
184,2013-07-04,141
185,2013-07-05,160
186,2013-07-06,152
187,2013-07-07,150
188,2013-07-08,215
189,2013-07-09,218
190,2013-07-10,238
191,2013-07-11,266
192,2013-07-12,503
193,2013-07-13,326
194,2013-07-14,364
195,2013-07-15,382
196,2013-07-16,363
197,2013-07-17,354
198,2013-07-18,591
199,2013-07-19,566
200,2013-07-20,515
201,2013-07-21,508
202,2013-07-22,737
203,2013-07-23,737
204,2013-07-24,738
205,2013-07-25,683
206,2013-07-26,760
207,2013-07-27,707
208,2013-07-28,665
209,2013-07-29,867
210,2013-07-30,930
211,2013-07-31,883
212,2013-08-01,1101
213,2013-08-02,1415
214,2013-08-03,1168
215,2013-08-04,848
216,2013-08-05,1038
217,2013-08-06,938
218,2013-08-07,1286
219,2013-08-08,1361
220,2013-08-09,1511
221,2013-08-10,1799
222,2013-08-11,1283
223,2013-08-12,1351
224,2013-08-13,1338
225,2013-08-14,1275
226,2013-08-15,1433
227,2013-08-16,1403
228,2013-08-17,1360
229,2013-08-18,1492
230,2013-08-19,1599
231,2013-08-20,1505
232,2013-08-21,1532
233,2013-08-22,1475
234,2013-08-23,1393
235,2013-08-24,1545
236,2013-08-25,1471
237,2013-08-26,1638
238,2013-08-27,1771
239,2013-08-28,1647
240,2013-08-29,1600
241,2013-08-30,1704
242,2013-08-31,1765
243,2013-09-01,1875
244,2013-09-02,1874
245,2013-09-03,1795
246,2013-09-04,1859
247,2013-09-05,1830
248,2013-09-06,1815
249,2013-09-07,1773
250,2013-09-08,1776
251,2013-09-09,1732
252,2013-09-10,3011
253,2013-09-11,2688
254,2013-09-12,2099
255,2013-09-13,1878
256,2013-09-14,1854
257,2013-09-15,1857
258,2013-09-16,1845
259,2013-09-17,1847
260,2013-09-18,1834
261,2013-09-19,1845
262,2013-09-20,1802
263,2013-09-21,1814
264,2013-09-22,1767
265,2013-09-23,1757
266,2013-09-24,1745
267,2013-09-25,1749
268,2013-09-26,1735
269,2013-09-27,1633
270,2013-09-28,1638
271,2013-09-29,1603
272,2013-09-30,1650
273,2013-10-01,1650
274,2013-10-02,1667
275,2013-10-03,1732
276,2013-10-04,1731
277,2013-10-05,1731
278,2013-10-06,1691
279,2013-10-07,1700
280,2013-10-08,1534
281,2013-10-09,1618
282,2013-10-10,1647
283,2013-10-11,1596
284,2013-10-12,1614
285,2013-10-13,1728
286,2013-10-14,1724
287,2013-10-15,1692
288,2013-10-16,1610
289,2013-10-17,1514
290,2013-10-18,1415
291,2013-10-19,1533
292,2013-10-20,1511
293,2013-10-21,1418
294,2013-10-22,1382
295,2013-10-23,1303
296,2013-10-24,1300
297,2013-10-25,1364
298,2013-10-26,1593
299,2013-10-27,1813
300,2013-10-28,1731
301,2013-10-29,1700
302,2013-10-30,1700
303,2013-10-31,1705
304,2013-11-01,1608
305,2013-11-02,1473
306,2013-11-03,1391
307,2013-11-04,1384
308,2013-11-05,1540
309,2013-11-06,1372
310,2013-11-07,1383
311,2013-11-08,1262
312,2013-11-09,1512
313,2013-11-10,1285
314,2013-11-11,1147
315,2013-11-12,1237
316,2013-11-13,1189
317,2013-11-14,1211
318,2013-11-15,1112
319,2013-11-16,1199
320,2013-11-17,1477
321,2013-11-18,1483
322,2013-11-19,1508
323,2013-11-20,1422
324,2013-11-21,1356
325,2013-11-22,1264
326,2013-11-23,1230
327,2013-11-24,1319
328,2013-11-25,1341
329,2013-11-26,1558
330,2013-11-27,1388
331,2013-11-28,1305
332,2013-11-29,1113
333,2013-11-30,1038
334,2013-12-01,1040
335,2013-12-02,1394
336,2013-12-03,1211
337,2013-12-04,1697
338,2013-12-05,1256
339,2013-12-06,1691
340,2013-12-07,1685
341,2013-12-08,1768
342,2013-12-09,1551
343,2013-12-10,1543
344,2013-12-11,1472
345,2013-12-12,1624
346,2013-12-13,1690
347,2013-12-14,1826
348,2013-12-15,2982
349,2013-12-16,1813
350,2013-12-17,1717
351,2013-12-18,1635
352,2013-12-19,1613
353,2013-12-20,1647
354,2013-12-21,1300
355,2013-12-22,1371
356,2013-12-23,1409
357,2013-12-24,1522
358,2013-12-25,1359
359,2013-12-26,1478
360,2013-12-27,1315
361,2013-12-28,1237
362,2013-12-29,1234
363,2013-12-30,1585
364,2013-12-31,1683
