吓死宝宝了,Date,DecryptedData
0,2015-01-01,193
1,2015-01-02,194
2,2015-01-03,185
3,2015-01-04,185
4,2015-01-05,194
5,2015-01-06,194
6,2015-01-07,206
7,2015-01-08,211
8,2015-01-09,195
9,2015-01-10,225
10,2015-01-11,212
11,2015-01-12,219
12,2015-01-13,177
13,2015-01-14,204
14,2015-01-15,238
15,2015-01-16,234
16,2015-01-17,229
17,2015-01-18,238
18,2015-01-19,245
19,2015-01-20,248
20,2015-01-21,271
21,2015-01-22,262
22,2015-01-23,252
23,2015-01-24,244
24,2015-01-25,266
25,2015-01-26,276
26,2015-01-27,262
27,2015-01-28,252
28,2015-01-29,297
29,2015-01-30,261
30,2015-01-31,263
31,2015-02-01,270
32,2015-02-02,269
33,2015-02-03,282
34,2015-02-04,269
35,2015-02-05,260
36,2015-02-06,266
37,2015-02-07,270
38,2015-02-08,297
39,2015-02-09,262
40,2015-02-10,290
41,2015-02-11,291
42,2015-02-12,296
43,2015-02-13,251
44,2015-02-14,234
45,2015-02-15,307
46,2015-02-16,266
47,2015-02-17,285
48,2015-02-18,247
49,2015-02-19,259
50,2015-02-20,243
51,2015-02-21,276
52,2015-02-22,267
53,2015-02-23,281
54,2015-02-24,273
55,2015-02-25,328
56,2015-02-26,310
57,2015-02-27,312
58,2015-02-28,340
59,2015-03-01,331
60,2015-03-02,308
61,2015-03-03,348
62,2015-03-04,335
63,2015-03-05,314
64,2015-03-06,320
65,2015-03-07,321
66,2015-03-08,307
67,2015-03-09,294
68,2015-03-10,293
69,2015-03-11,328
70,2015-03-12,359
71,2015-03-13,326
72,2015-03-14,341
73,2015-03-15,398
74,2015-03-16,396
75,2015-03-17,351
76,2015-03-18,395
77,2015-03-19,371
78,2015-03-20,396
79,2015-03-21,387
80,2015-03-22,524
81,2015-03-23,530
82,2015-03-24,474
83,2015-03-25,419
84,2015-03-26,426
85,2015-03-27,429
86,2015-03-28,488
87,2015-03-29,491
88,2015-03-30,458
89,2015-03-31,555
90,2015-04-01,576
91,2015-04-02,620
92,2015-04-03,561
93,2015-04-04,574
94,2015-04-05,603
95,2015-04-06,817
96,2015-04-07,711
97,2015-04-08,786
98,2015-04-09,741
99,2015-04-10,708
100,2015-04-11,821
101,2015-04-12,898
102,2015-04-13,871
103,2015-04-14,707
104,2015-04-15,784
105,2015-04-16,772
106,2015-04-17,734
107,2015-04-18,795
108,2015-04-19,825
109,2015-04-20,807
110,2015-04-21,818
111,2015-04-22,863
112,2015-04-23,822
113,2015-04-24,786
114,2015-04-25,789
115,2015-04-26,859
116,2015-04-27,910
117,2015-04-28,963
118,2015-04-29,868
119,2015-04-30,801
120,2015-05-01,891
121,2015-05-02,814
122,2015-05-03,1083
123,2015-05-04,1047
124,2015-05-05,979
125,2015-05-06,1066
126,2015-05-07,1024
127,2015-05-08,1014
128,2015-05-09,910
129,2015-05-10,952
130,2015-05-11,1019
131,2015-05-12,969
132,2015-05-13,930
133,2015-05-14,1028
134,2015-05-15,941
135,2015-05-16,951
136,2015-05-17,1161
137,2015-05-18,1144
138,2015-05-19,1183
139,2015-05-20,1135
140,2015-05-21,1180
141,2015-05-22,1158
142,2015-05-23,1169
143,2015-05-24,1310
144,2015-05-25,1333
145,2015-05-26,1232
146,2015-05-27,1258
147,2015-05-28,1281
148,2015-05-29,1241
149,2015-05-30,1237
150,2015-05-31,1367
151,2015-06-01,1327
152,2015-06-02,1347
153,2015-06-03,1216
154,2015-06-04,1298
155,2015-06-05,1248
156,2015-06-06,1322
157,2015-06-07,1408
158,2015-06-08,1477
159,2015-06-09,1451
160,2015-06-10,1464
161,2015-06-11,1483
162,2015-06-12,1710
163,2015-06-13,1622
164,2015-06-14,1661
165,2015-06-15,1769
166,2015-06-16,1851
167,2015-06-17,1819
168,2015-06-18,1813
169,2015-06-19,2234
170,2015-06-20,1984
171,2015-06-21,1977
172,2015-06-22,2806
173,2015-06-23,2887
174,2015-06-24,2861
175,2015-06-25,2932
176,2015-06-26,3051
177,2015-06-27,3214
178,2015-06-28,3275
179,2015-06-29,3897
180,2015-06-30,3810
181,2015-07-01,3937
182,2015-07-02,4162
183,2015-07-03,3822
184,2015-07-04,4076
185,2015-07-05,4578
186,2015-07-06,5042
187,2015-07-07,4817
188,2015-07-08,4406
189,2015-07-09,4447
190,2015-07-10,6561
191,2015-07-11,6643
192,2015-07-12,5704
193,2015-07-13,5995
194,2015-07-14,7393
195,2015-07-15,6892
196,2015-07-16,5900
197,2015-07-17,6224
198,2015-07-18,6829
199,2015-07-19,7290
200,2015-07-20,7560
201,2015-07-21,7190
202,2015-07-22,7290
203,2015-07-23,7504
204,2015-07-24,6891
205,2015-07-25,6410
206,2015-07-26,6616
207,2015-07-27,6858
208,2015-07-28,6796
209,2015-07-29,7575
210,2015-07-30,7033
211,2015-07-31,6364
212,2015-08-01,6130
213,2015-08-02,6489
214,2015-08-03,6597
215,2015-08-04,6205
216,2015-08-05,6148
217,2015-08-06,6325
218,2015-08-07,6168
219,2015-08-08,5758
220,2015-08-09,5088
221,2015-08-10,5464
222,2015-08-11,5215
223,2015-08-12,5311
224,2015-08-13,5162
225,2015-08-14,4844
226,2015-08-15,4888
227,2015-08-16,4831
228,2015-08-17,4378
229,2015-08-18,4294
230,2015-08-19,3997
231,2015-08-20,3975
232,2015-08-21,3764
233,2015-08-22,4749
234,2015-08-23,5322
235,2015-08-24,4749
236,2015-08-25,4730
237,2015-08-26,4496
238,2015-08-27,4946
239,2015-08-28,4602
240,2015-08-29,4794
241,2015-08-30,4507
242,2015-08-31,3899
243,2015-09-01,3378
244,2015-09-02,3314
245,2015-09-03,3135
246,2015-09-04,3266
247,2015-09-05,3207
248,2015-09-06,3294
249,2015-09-07,3497
250,2015-09-08,3089
251,2015-09-09,3424
252,2015-09-10,3136
253,2015-09-11,3532
254,2015-09-12,3689
255,2015-09-13,3587
256,2015-09-14,3181
257,2015-09-15,3338
258,2015-09-16,3061
259,2015-09-17,2862
260,2015-09-18,2772
261,2015-09-19,2853
262,2015-09-20,2874
263,2015-09-21,2662
264,2015-09-22,2542
265,2015-09-23,2375
266,2015-09-24,2366
267,2015-09-25,2209
268,2015-09-26,2324
269,2015-09-27,2397
270,2015-09-28,2409
271,2015-09-29,2445
272,2015-09-30,2359
273,2015-10-01,2201
274,2015-10-02,2223
275,2015-10-03,2199
276,2015-10-04,2334
277,2015-10-05,2391
278,2015-10-06,2553
279,2015-10-07,2421
280,2015-10-08,2106
281,2015-10-09,2057
282,2015-10-10,2120
283,2015-10-11,1895
284,2015-10-12,1952
285,2015-10-13,1962
286,2015-10-14,1909
287,2015-10-15,1860
288,2015-10-16,1824
289,2015-10-17,1764
290,2015-10-18,1701
291,2015-10-19,1817
292,2015-10-20,1800
293,2015-10-21,1958
294,2015-10-22,1774
295,2015-10-23,1758
296,2015-10-24,1566
297,2015-10-25,1526
298,2015-10-26,1759
299,2015-10-27,1697
300,2015-10-28,1768
301,2015-10-29,1637
302,2015-10-30,1598
303,2015-10-31,1556
304,2015-11-01,1512
305,2015-11-02,1615
306,2015-11-03,1667
307,2015-11-04,1741
308,2015-11-05,1666
309,2015-11-06,1675
310,2015-11-07,1586
311,2015-11-08,1548
312,2015-11-09,1788
313,2015-11-10,1559
314,2015-11-11,1491
315,2015-11-12,1683
316,2015-11-13,1671
317,2015-11-14,1624
318,2015-11-15,1887
319,2015-11-16,1771
320,2015-11-17,1697
321,2015-11-18,1772
322,2015-11-19,1794
323,2015-11-20,1714
324,2015-11-21,1528
325,2015-11-22,1603
326,2015-11-23,1767
327,2015-11-24,1703
328,2015-11-25,1634
329,2015-11-26,1632
330,2015-11-27,1581
331,2015-11-28,1426
332,2015-11-29,1503
333,2015-11-30,1613
334,2015-12-01,1606
335,2015-12-02,1504
336,2015-12-03,1547
337,2015-12-04,1547
338,2015-12-05,1467
339,2015-12-06,1457
340,2015-12-07,1653
341,2015-12-08,1636
342,2015-12-09,1677
343,2015-12-10,1735
344,2015-12-11,1680
345,2015-12-12,1423
346,2015-12-13,1436
347,2015-12-14,1742
348,2015-12-15,1672
349,2015-12-16,1782
350,2015-12-17,1721
351,2015-12-18,1638
352,2015-12-19,1490
353,2015-12-20,1443
354,2015-12-21,1761
355,2015-12-22,1755
356,2015-12-23,1801
357,2015-12-24,1743
358,2015-12-25,1713
359,2015-12-26,1472
360,2015-12-27,1476
361,2015-12-28,31127
362,2015-12-29,7663
363,2015-12-30,3910
364,2015-12-31,2379
