感觉不会再爱了,Date,DecryptedData
0,2013-01-01,899
1,2013-01-02,997
2,2013-01-03,1150
3,2013-01-04,997
4,2013-01-05,1037
5,2013-01-06,1045
6,2013-01-07,1005
7,2013-01-08,1031
8,2013-01-09,897
9,2013-01-10,949
10,2013-01-11,1048
11,2013-01-12,965
12,2013-01-13,981
13,2013-01-14,940
14,2013-01-15,837
15,2013-01-16,869
16,2013-01-17,849
17,2013-01-18,883
18,2013-01-19,1201
19,2013-01-20,1625
20,2013-01-21,1394
21,2013-01-22,1286
22,2013-01-23,1174
23,2013-01-24,1064
24,2013-01-25,1206
25,2013-01-26,1061
26,2013-01-27,1014
27,2013-01-28,1087
28,2013-01-29,1084
29,2013-01-30,1012
30,2013-01-31,1029
31,2013-02-01,1104
32,2013-02-02,933
33,2013-02-03,845
34,2013-02-04,1104
35,2013-02-05,1036
36,2013-02-06,1173
37,2013-02-07,1037
38,2013-02-08,939
39,2013-02-09,645
40,2013-02-10,745
41,2013-02-11,782
42,2013-02-12,764
43,2013-02-13,817
44,2013-02-14,826
45,2013-02-15,847
46,2013-02-16,987
47,2013-02-17,971
48,2013-02-18,1026
49,2013-02-19,1046
50,2013-02-20,978
51,2013-02-21,1048
52,2013-02-22,1102
53,2013-02-23,1112
54,2013-02-24,1086
55,2013-02-25,920
56,2013-02-26,1024
57,2013-02-27,995
58,2013-02-28,1113
59,2013-03-01,1005
60,2013-03-02,1149
61,2013-03-03,1034
62,2013-03-04,1053
63,2013-03-05,1068
64,2013-03-06,1055
65,2013-03-07,1086
66,2013-03-08,1055
67,2013-03-09,1137
68,2013-03-10,1184
69,2013-03-11,999
70,2013-03-12,978
71,2013-03-13,1031
72,2013-03-14,905
73,2013-03-15,991
74,2013-03-16,1079
75,2013-03-17,1083
76,2013-03-18,995
77,2013-03-19,939
78,2013-03-20,971
79,2013-03-21,935
80,2013-03-22,978
81,2013-03-23,994
82,2013-03-24,1064
83,2013-03-25,959
84,2013-03-26,910
85,2013-03-27,871
86,2013-03-28,938
87,2013-03-29,891
88,2013-03-30,967
89,2013-03-31,1016
90,2013-04-01,992
91,2013-04-02,933
92,2013-04-03,966
93,2013-04-04,1068
94,2013-04-05,1032
95,2013-04-06,1077
96,2013-04-07,970
97,2013-04-08,936
98,2013-04-09,896
99,2013-04-10,917
100,2013-04-11,846
101,2013-04-12,838
102,2013-04-13,926
103,2013-04-14,885
104,2013-04-15,910
105,2013-04-16,882
106,2013-04-17,827
107,2013-04-18,920
108,2013-04-19,960
109,2013-04-20,945
110,2013-04-21,828
111,2013-04-22,861
112,2013-04-23,628
113,2013-04-24,570
114,2013-04-25,592
115,2013-04-26,631
116,2013-04-27,564
117,2013-04-28,882
118,2013-04-29,1193
119,2013-04-30,1239
120,2013-05-01,1213
121,2013-05-02,1048
122,2013-05-03,1062
123,2013-05-04,1326
124,2013-05-05,1464
125,2013-05-06,1371
126,2013-05-07,1334
127,2013-05-08,1382
128,2013-05-09,1281
129,2013-05-10,1222
130,2013-05-11,1360
131,2013-05-12,1133
132,2013-05-13,852
133,2013-05-14,1296
134,2013-05-15,1095
135,2013-05-16,979
136,2013-05-17,996
137,2013-05-18,1132
138,2013-05-19,1396
139,2013-05-20,1396
140,2013-05-21,1265
141,2013-05-22,1317
142,2013-05-23,1303
143,2013-05-24,1126
144,2013-05-25,1223
145,2013-05-26,1339
146,2013-05-27,960
147,2013-05-28,714
148,2013-05-29,766
149,2013-05-30,713
150,2013-05-31,972
151,2013-06-01,1137
152,2013-06-02,1124
153,2013-06-03,1133
154,2013-06-04,1039
155,2013-06-05,1162
156,2013-06-06,1169
157,2013-06-07,1219
158,2013-06-08,1189
159,2013-06-09,987
160,2013-06-10,971
161,2013-06-11,1126
162,2013-06-12,826
163,2013-06-13,717
164,2013-06-14,692
165,2013-06-15,685
166,2013-06-16,687
167,2013-06-17,686
168,2013-06-18,677
169,2013-06-19,637
170,2013-06-20,824
171,2013-06-21,996
172,2013-06-22,940
173,2013-06-23,907
174,2013-06-24,1000
175,2013-06-25,1054
176,2013-06-26,936
177,2013-06-27,1054
178,2013-06-28,941
179,2013-06-29,926
180,2013-06-30,887
181,2013-07-01,864
182,2013-07-02,804
183,2013-07-03,855
184,2013-07-04,1091
185,2013-07-05,1267
186,2013-07-06,1127
187,2013-07-07,1111
188,2013-07-08,812
189,2013-07-09,676
190,2013-07-10,661
191,2013-07-11,704
192,2013-07-12,684
193,2013-07-13,655
194,2013-07-14,630
195,2013-07-15,672
196,2013-07-16,899
197,2013-07-17,951
198,2013-07-18,949
199,2013-07-19,1004
200,2013-07-20,957
201,2013-07-21,1015
202,2013-07-22,1069
203,2013-07-23,1046
204,2013-07-24,1019
205,2013-07-25,827
206,2013-07-26,773
207,2013-07-27,711
208,2013-07-28,658
209,2013-07-29,676
210,2013-07-30,620
211,2013-07-31,629
212,2013-08-01,610
213,2013-08-02,925
214,2013-08-03,915
215,2013-08-04,898
216,2013-08-05,1074
217,2013-08-06,995
218,2013-08-07,1131
219,2013-08-08,1067
220,2013-08-09,1166
221,2013-08-10,771
222,2013-08-11,670
223,2013-08-12,676
224,2013-08-13,708
225,2013-08-14,620
226,2013-08-15,628
227,2013-08-16,647
228,2013-08-17,630
229,2013-08-18,592
230,2013-08-19,599
231,2013-08-20,589
232,2013-08-21,620
233,2013-08-22,611
234,2013-08-23,865
235,2013-08-24,808
236,2013-08-25,825
237,2013-08-26,934
238,2013-08-27,961
239,2013-08-28,987
240,2013-08-29,960
241,2013-08-30,920
242,2013-08-31,845
243,2013-09-01,876
244,2013-09-02,762
245,2013-09-03,814
246,2013-09-04,814
247,2013-09-05,760
248,2013-09-06,811
249,2013-09-07,834
250,2013-09-08,847
251,2013-09-09,814
252,2013-09-10,843
253,2013-09-11,884
254,2013-09-12,867
255,2013-09-13,1101
256,2013-09-14,1328
257,2013-09-15,1064
258,2013-09-16,941
259,2013-09-17,887
260,2013-09-18,800
261,2013-09-19,907
262,2013-09-20,971
263,2013-09-21,925
264,2013-09-22,777
265,2013-09-23,849
266,2013-09-24,783
267,2013-09-25,760
268,2013-09-26,720
269,2013-09-27,690
270,2013-09-28,654
271,2013-09-29,694
272,2013-09-30,678
273,2013-10-01,757
274,2013-10-02,794
275,2013-10-03,749
276,2013-10-04,810
277,2013-10-05,836
278,2013-10-06,829
279,2013-10-07,802
280,2013-10-08,673
281,2013-10-09,730
282,2013-10-10,704
283,2013-10-11,683
284,2013-10-12,684
285,2013-10-13,778
286,2013-10-14,643
287,2013-10-15,652
288,2013-10-16,653
289,2013-10-17,569
290,2013-10-18,614
291,2013-10-19,610
292,2013-10-20,632
293,2013-10-21,549
294,2013-10-22,553
295,2013-10-23,567
296,2013-10-24,530
297,2013-10-25,538
298,2013-10-26,583
299,2013-10-27,549
300,2013-10-28,617
301,2013-10-29,556
302,2013-10-30,604
303,2013-10-31,525
304,2013-11-01,585
305,2013-11-02,597
306,2013-11-03,584
307,2013-11-04,538
308,2013-11-05,566
309,2013-11-06,531
310,2013-11-07,603
311,2013-11-08,502
312,2013-11-09,523
313,2013-11-10,523
314,2013-11-11,514
315,2013-11-12,508
316,2013-11-13,492
317,2013-11-14,461
318,2013-11-15,468
319,2013-11-16,511
320,2013-11-17,513
321,2013-11-18,498
322,2013-11-19,481
323,2013-11-20,478
324,2013-11-21,487
325,2013-11-22,493
326,2013-11-23,498
327,2013-11-24,489
328,2013-11-25,465
329,2013-11-26,470
330,2013-11-27,496
331,2013-11-28,453
332,2013-11-29,498
333,2013-11-30,467
334,2013-12-01,503
335,2013-12-02,453
336,2013-12-03,499
337,2013-12-04,532
338,2013-12-05,617
339,2013-12-06,580
340,2013-12-07,587
341,2013-12-08,547
342,2013-12-09,546
343,2013-12-10,566
344,2013-12-11,589
345,2013-12-12,546
346,2013-12-13,568
347,2013-12-14,654
348,2013-12-15,682
349,2013-12-16,737
350,2013-12-17,589
351,2013-12-18,608
352,2013-12-19,587
353,2013-12-20,519
354,2013-12-21,595
355,2013-12-22,637
356,2013-12-23,649
357,2013-12-24,539
358,2013-12-25,531
359,2013-12-26,609
360,2013-12-27,559
361,2013-12-28,563
362,2013-12-29,582
363,2013-12-30,602
364,2013-12-31,511
