赛博朋克,Date,DecryptedData
0,2020-01-01,2737
1,2020-01-02,2616
2,2020-01-03,2636
3,2020-01-04,2677
4,2020-01-05,2683
5,2020-01-06,2576
6,2020-01-07,2556
7,2020-01-08,2601
8,2020-01-09,2570
9,2020-01-10,2574
10,2020-01-11,2465
11,2020-01-12,2371
12,2020-01-13,2321
13,2020-01-14,2357
14,2020-01-15,2354
15,2020-01-16,2335
16,2020-01-17,3710
17,2020-01-18,2223
18,2020-01-19,2191
19,2020-01-20,2137
20,2020-01-21,2582
21,2020-01-22,2410
22,2020-01-23,3653
23,2020-01-24,3629
24,2020-01-25,3081
25,2020-01-26,3528
26,2020-01-27,2865
27,2020-01-28,3254
28,2020-01-29,3018
29,2020-01-30,2981
30,2020-01-31,2763
31,2020-02-01,2919
32,2020-02-02,2805
33,2020-02-03,2842
34,2020-02-04,3062
35,2020-02-05,2503
36,2020-02-06,2857
37,2020-02-07,2768
38,2020-02-08,2674
39,2020-02-09,2633
40,2020-02-10,2891
41,2020-02-11,2859
42,2020-02-12,2826
43,2020-02-13,3496
44,2020-02-14,3108
45,2020-02-15,3199
46,2020-02-16,2915
47,2020-02-17,2964
48,2020-02-18,3361
49,2020-02-19,3057
50,2020-02-20,3011
51,2020-02-21,3155
52,2020-02-22,2907
53,2020-02-23,2894
54,2020-02-24,2983
55,2020-02-25,3142
56,2020-02-26,3099
57,2020-02-27,3899
58,2020-02-28,3414
59,2020-02-29,3209
60,2020-03-01,3173
61,2020-03-02,3452
62,2020-03-03,3209
63,2020-03-04,3419
64,2020-03-05,3675
65,2020-03-06,3519
66,2020-03-07,3229
67,2020-03-08,3365
68,2020-03-09,3725
69,2020-03-10,3829
70,2020-03-11,3660
71,2020-03-12,3659
72,2020-03-13,3568
73,2020-03-14,2984
74,2020-03-15,3148
75,2020-03-16,4542
76,2020-03-17,4200
77,2020-03-18,4032
78,2020-03-19,3480
79,2020-03-20,3764
80,2020-03-21,3889
81,2020-03-22,3419
82,2020-03-23,3385
83,2020-03-24,3440
84,2020-03-25,3399
85,2020-03-26,3375
86,2020-03-27,3145
87,2020-03-28,2972
88,2020-03-29,3073
89,2020-03-30,3153
90,2020-03-31,3492
91,2020-04-01,6877
92,2020-04-02,5036
93,2020-04-03,3649
94,2020-04-04,3902
95,2020-04-05,3091
96,2020-04-06,3343
97,2020-04-07,4404
98,2020-04-08,3577
99,2020-04-09,3439
100,2020-04-10,3286
101,2020-04-11,3092
102,2020-04-12,3070
103,2020-04-13,3329
104,2020-04-14,3261
105,2020-04-15,3231
106,2020-04-16,3349
107,2020-04-17,3549
108,2020-04-18,3630
109,2020-04-19,3396
110,2020-04-20,3383
111,2020-04-21,3750
112,2020-04-22,3645
113,2020-04-23,3628
114,2020-04-24,3283
115,2020-04-25,3261
116,2020-04-26,3416
117,2020-04-27,4089
118,2020-04-28,4216
119,2020-04-29,3652
120,2020-04-30,3430
121,2020-05-01,3798
122,2020-05-02,3822
123,2020-05-03,3659
124,2020-05-04,3420
125,2020-05-05,3422
126,2020-05-06,4299
127,2020-05-07,4425
128,2020-05-08,4193
129,2020-05-09,4166
130,2020-05-10,3541
131,2020-05-11,3571
132,2020-05-12,3721
133,2020-05-13,3845
134,2020-05-14,4742
135,2020-05-15,4542
136,2020-05-16,4097
137,2020-05-17,4011
138,2020-05-18,3639
139,2020-05-19,4173
140,2020-05-20,3936
141,2020-05-21,4426
142,2020-05-22,4345
143,2020-05-23,3806
144,2020-05-24,3624
145,2020-05-25,3853
146,2020-05-26,3871
147,2020-05-27,3497
148,2020-05-28,3504
149,2020-05-29,3715
150,2020-05-30,3400
151,2020-05-31,3523
152,2020-06-01,3328
153,2020-06-02,3353
154,2020-06-03,3286
155,2020-06-04,3164
156,2020-06-05,3285
157,2020-06-06,3156
158,2020-06-07,3037
159,2020-06-08,3387
160,2020-06-09,3246
161,2020-06-10,3263
162,2020-06-11,3112
163,2020-06-12,3076
164,2020-06-13,3274
165,2020-06-14,3737
166,2020-06-15,3412
167,2020-06-16,3288
168,2020-06-17,3423
169,2020-06-18,3244
170,2020-06-19,6310
171,2020-06-20,3926
172,2020-06-21,3880
173,2020-06-22,3486
174,2020-06-23,3429
175,2020-06-24,3588
176,2020-06-25,3937
177,2020-06-26,7625
178,2020-06-27,5202
179,2020-06-28,6032
180,2020-06-29,4925
181,2020-06-30,4595
182,2020-07-01,4275
183,2020-07-02,4309
184,2020-07-03,4119
185,2020-07-04,3817
186,2020-07-05,3485
187,2020-07-06,3889
188,2020-07-07,3647
189,2020-07-08,3973
190,2020-07-09,3481
191,2020-07-10,3820
192,2020-07-11,3766
193,2020-07-12,3621
194,2020-07-13,4114
195,2020-07-14,3906
196,2020-07-15,3981
197,2020-07-16,3894
198,2020-07-17,3478
199,2020-07-18,3197
200,2020-07-19,3235
201,2020-07-20,3387
202,2020-07-21,3175
203,2020-07-22,3087
204,2020-07-23,3011
205,2020-07-24,2951
206,2020-07-25,2507
207,2020-07-26,2885
208,2020-07-27,3096
209,2020-07-28,3086
210,2020-07-29,3198
211,2020-07-30,3186
212,2020-07-31,3052
213,2020-08-01,2485
214,2020-08-02,2936
215,2020-08-03,3189
216,2020-08-04,3022
217,2020-08-05,3051
218,2020-08-06,3435
219,2020-08-07,3384
220,2020-08-08,3140
221,2020-08-09,2778
222,2020-08-10,3110
223,2020-08-11,3429
224,2020-08-12,3567
225,2020-08-13,3720
226,2020-08-14,3151
227,2020-08-15,2737
228,2020-08-16,2859
229,2020-08-17,3332
230,2020-08-18,3261
231,2020-08-19,3087
232,2020-08-20,3495
233,2020-08-21,3601
234,2020-08-22,3625
235,2020-08-23,3201
236,2020-08-24,3174
237,2020-08-25,3119
238,2020-08-26,3284
239,2020-08-27,3417
240,2020-08-28,3260
241,2020-08-29,3509
242,2020-08-30,3252
243,2020-08-31,3599
244,2020-09-01,3916
245,2020-09-02,3823
246,2020-09-03,4186
247,2020-09-04,3274
248,2020-09-05,3158
249,2020-09-06,3052
250,2020-09-07,3232
251,2020-09-08,3671
252,2020-09-09,4283
253,2020-09-10,4048
254,2020-09-11,3653
255,2020-09-12,3388
256,2020-09-13,3562
257,2020-09-14,3594
258,2020-09-15,3637
259,2020-09-16,3287
260,2020-09-17,3266
261,2020-09-18,3007
262,2020-09-19,3683
263,2020-09-20,3502
264,2020-09-21,3585
265,2020-09-22,3613
266,2020-09-23,3387
267,2020-09-24,3165
268,2020-09-25,3073
269,2020-09-26,3077
270,2020-09-27,2992
271,2020-09-28,3141
272,2020-09-29,3141
273,2020-09-30,3028
274,2020-10-01,2914
275,2020-10-02,3126
276,2020-10-03,2995
277,2020-10-04,3118
278,2020-10-05,3307
279,2020-10-06,3260
280,2020-10-07,3463
281,2020-10-08,3658
282,2020-10-09,3664
283,2020-10-10,3479
284,2020-10-11,3756
285,2020-10-12,3558
286,2020-10-13,3688
287,2020-10-14,3871
288,2020-10-15,4643
289,2020-10-16,4486
290,2020-10-17,3635
291,2020-10-18,3781
292,2020-10-19,4168
293,2020-10-20,4041
294,2020-10-21,3964
295,2020-10-22,3758
296,2020-10-23,3751
297,2020-10-24,3680
298,2020-10-25,3651
299,2020-10-26,4136
300,2020-10-27,4970
301,2020-10-28,12560
302,2020-10-29,5820
303,2020-10-30,4696
304,2020-10-31,3865
305,2020-11-01,4231
306,2020-11-02,5915
307,2020-11-03,7074
308,2020-11-04,5368
309,2020-11-05,4946
310,2020-11-06,4710
311,2020-11-07,4427
312,2020-11-08,4495
313,2020-11-09,4539
314,2020-11-10,5034
315,2020-11-11,4923
316,2020-11-12,4816
317,2020-11-13,4261
318,2020-11-14,4326
319,2020-11-15,4138
320,2020-11-16,4580
321,2020-11-17,4389
322,2020-11-18,4688
323,2020-11-19,4650
324,2020-11-20,5102
325,2020-11-21,5061
326,2020-11-22,5013
327,2020-11-23,5239
328,2020-11-24,5135
329,2020-11-25,5502
330,2020-11-26,6075
331,2020-11-27,5795
332,2020-11-28,5381
333,2020-11-29,5196
334,2020-11-30,5909
335,2020-12-01,6142
336,2020-12-02,7107
337,2020-12-03,6836
338,2020-12-04,7932
339,2020-12-05,7368
340,2020-12-06,8477
341,2020-12-07,13487
342,2020-12-08,42200
343,2020-12-09,67486
344,2020-12-10,180880
345,2020-12-11,110279
346,2020-12-12,71920
347,2020-12-13,59094
348,2020-12-14,51909
349,2020-12-15,41541
350,2020-12-16,33535
351,2020-12-17,27860
352,2020-12-18,29094
353,2020-12-19,22991
354,2020-12-20,20921
355,2020-12-21,16218
356,2020-12-22,13817
357,2020-12-23,12506
358,2020-12-24,12076
359,2020-12-25,11251
360,2020-12-26,11642
361,2020-12-27,11391
362,2020-12-28,11233
363,2020-12-29,9954
364,2020-12-30,8288
365,2020-12-31,8369
